start,symbol,Start_Datum,Start_Open,Ende_Datum,Ende_Open,Close,Volume,days,profit,sum
2022-11-30,enlc,2022-12-01,12.94,2022-12-06,12.4,12.86,4553200.0,2.0,-4.173106646058726,-4.173106646058726
2022-11-30,ovv,2022-12-01,56.14,2022-12-06,51.09,55.76,21331900.0,2.0,-8.995368721054502,-13.168475367113228
2022-11-30,mur,2022-12-01,47.8,2022-12-02,45.8,47.2,1016700.0,0.0,-4.1841004184100425,-17.35257578552327
2022-11-30,cprx,2022-12-01,16.9,2022-12-06,16.95,16.77,2990500.0,2.0,0.2958579881656847,-17.056717797357585
2022-11-30,cf,2022-12-01,108.6,2022-12-02,103.59,108.19,8646900.0,0.0,-4.613259668508279,-21.669977465865863
2022-11-30,stng,2022-12-01,51.04,2022-12-06,53.0,51.02,1050700.0,2.0,3.840125391849532,-17.82985207401633
2022-11-30,sqm,2022-12-01,100.34,2022-12-02,96.6,99.16,2363900.0,0.0,-3.7273270879011453,-21.557179161917475
2022-11-30,apa,2022-12-01,47.5,2022-12-05,48.07,46.85,9011400.0,1.0,1.2000000000000006,-20.357179161917475
2022-11-30,hp,2022-12-01,51.76,2022-12-02,49.28,51.08,1165700.0,0.0,-4.791344667697057,-25.148523829614533
2022-11-30,ceix,2022-12-01,77.8,2022-12-02,71.98,77.45,1100400.0,0.0,-7.4807197943444645,-32.629243623959
2022-12-01,mpc,2022-12-02,119.64,2022-12-06,111.81,120.23,3243600.0,1.0,-6.544633901705114,-39.17387752566411
2022-12-01,vlo,2022-12-02,131.57,2022-12-05,127.89,132.03,4563400.0,0.0,-2.796990195333277,-41.97086772099739
2022-12-01,hrb,2022-12-02,42.92,2022-12-06,42.33,43.45,1816000.0,1.0,-1.374650512581555,-43.34551823357894
2022-12-01,asc,2022-12-02,15.0,2022-12-06,15.2,15.13,1454800.0,1.0,1.3333333333333286,-42.012184900245614
2022-12-01,nog,2022-12-02,34.89,2022-12-05,36.4,35.32,1741500.0,0.0,4.327887646890221,-37.684297253355396
2022-12-02,btu,2022-12-05,31.7,2022-12-06,29.57,31.59,3133900.0,0.0,-6.719242902208198,-44.4035401555636
2022-12-02,ati,2022-12-05,31.2,2022-12-06,30.42,31.12,1296300.0,0.0,-2.499999999999992,-46.90354015556359
2022-12-02,flr,2022-12-05,35.65,2022-12-06,34.79,35.66,1889100.0,0.0,-2.412342215988778,-49.31588237155237
2023-01-13,val,2023-01-17,72.49,2023-01-19,72.0,71.82,1173600.0,1.0,-0.6759553041798798,-49.99183767573225
2023-01-13,mpc,2023-01-17,122.83,2023-01-19,120.47,121.93,2780500.0,1.0,-1.921354717902792,-51.91319239363504
2023-01-13,vlo,2023-01-17,137.62,2023-01-19,134.68,136.13,2604000.0,1.0,-2.1363173957273633,-54.0495097893624
2023-01-13,enlc,2023-01-17,13.31,2023-01-19,12.9,13.38,1495500.0,1.0,-3.0803906836964696,-57.129900473058875
