Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
13-01,AEP,43.17,45.29,43.23,5.99,0.1147,3.3164,8.0001,18.0001,-2.6863
13-01,APD,79.06,80.88,76.37,4.0558,0.9524,-1.3734,3.0,3.9999,2.0423
13-01,BMY,32.84,36.14,32.86,10.4476,0.4298,-7.5199,1.9999,9.0,-3.1827
13-01,CMG,6.09,6.14,5.77,3.4936,4.2488,-11.9263,-1.0002,5.9997,-4.0606
13-01,CSX,6.7,7.34,7.04,11.2535,0.3483,-6.3153,-1.0001,-0.0001,-4.5485
13-01,CVX,110.27,115.15,110.98,6.3499,0.0091,1.6353,7.0,2.0,-7.0187
13-01,GHC,222.85,233.04,214.3,5.4949,0.4125,-3.0785,3.0,8.0,1.1473
13-01,TAP,43.42,45.18,43.47,5.5448,0.069,-1.7226,1.0,8.0,-4.7294
13-01,WU,13.86,14.23,15.88,4.7981,0.0727,-25.4655,7.9998,2.9998,-23.4478
13-01,XYL,27.63,27.93,25.23,3.1046,2.459,5.4885,2.0001,5.0,8.0937
