Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
23-08,AIZ,134.33,139.33,123.53,3.7595,4.2458,-23.4782,6.0,4.0,9.8815
23-08,BALL,58.22,54.45,54.64,-7.1562,0.8508,-20.0627,-1.0,5.0002,11.7475
23-08,CHRW,99.9,90.43,96.99,-10.0018,0.8012,-9.5032,8.0,12.0001,0.2049
23-08,DVN,53.66,51.09,50.14,-5.0944,2.7172,-14.0811,2.9999,4.9997,2.3695
23-08,EPAM,234.61,258.99,254.59,9.2999,0.8507,-32.1947,3.9997,5.9997,-12.8189
23-08,GLW,33.9,32.82,33.27,-3.2904,1.5653,-7.6714,7.0,9.0001,3.0147
23-08,HAS,64.16,72.0,57.99,11.4495,0.9225,-17.9878,11.0001,16.0,9.1421
23-08,HBAN,12.21,11.09,10.99,-9.557,3.9049,-7.9007,2.9998,1.9998,10.5798
23-08,TSN,55.72,53.27,54.75,-4.2478,5.0513,-36.689,6.9999,8.9998,-9.3014
23-08,WELL,81.78,82.88,76.5,1.0735,2.7822,-4.8529,-0.9999,6.0003,4.3446
