Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
22-06,CI,271.29,263.52,243.87,-1.4351,1.9615,3.6469,21.0004,22.0003,13.1665
22-06,CL,79.01,80.14,78.74,1.8486,4.0863,-5.9322,9.0001,6.0,3.1203
22-06,CPB,47.86,48.05,45.48,0.5052,2.1073,-1.5615,22.0002,15.0002,7.5098
22-06,HII,212.47,217.82,201.95,3.663,6.4219,-2.6595,11.0002,4.0001,4.0088
22-06,INCY,76.22,75.97,74.64,0.6804,0.1336,-9.4175,10.0001,9.0,11.5897
22-06,KMB,133.42,135.15,132.04,1.8321,2.3843,1.8296,1.0,-4.0,3.1511
22-06,LDOS,104.85,100.71,100.1,-3.3542,4.1153,1.7032,14.0002,8.0001,3.1146
22-06,LW,67.66,71.46,63.26,5.9048,5.3823,-18.0749,12.0003,-2.9999,3.8145
22-06,MNST,44.41,46.35,42.06,4.4068,0.4793,-5.463,20.0001,6.9999,7.1093
22-06,TAP,55.98,54.51,51.89,-2.039,6.8124,-4.2524,21.0002,8.0002,7.7958
