Month,Ticker,Open,Close,Profit,qty,Gewinn
18-04,NRG,25.796307249158925,26.19266128540039,1.5364758700274372,756.0,299.6436513985479
18-04,PVH,150.26103058080753,158.2284698486328,5.302398923412512,129.0,1027.7996655494617
18-04,BBY,55.82834723309737,61.149906158447266,9.532001553137608,349.0,1857.2240649471144
18-04,STZ,208.49642686172822,211.81265258789062,1.5905431935107806,93.0,308.4089925331033
18-04,DG,86.37244550922814,89.7036361694336,3.856774739404064,225.0,749.5178985462264
18-04,YUM,75.76941336045736,77.44092559814453,2.2060514441827506,257.0,429.5786450856021
18-04,HUM,268.8340260584419,280.3857116699219,4.296958156988931,72.0,831.7213640265577
18-04,NEE,35.12173227535748,35.11530685424805,-0.018294715816001905,555.0,-3.5661087157356874
18-04,EXR,69.3862708547092,71.05175018310547,2.40030096426956,281.0,467.99969127935276
18-04,COP,47.90141828550934,52.93643569946289,10.511207380005066,407.0,2049.2520874790966
