Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
19-03,LLY,117.46,119.78,105.16,2.8397,5.0383,67.7535,28.0002,43.0004,7.4713
19-03,AES,14.56,15.23,12.96,4.9525,2.0408,64.5783,17.0003,29.0003,12.2477
19-03,NRG,35.37,35.98,33.31,2.0756,0.3329,61.7416,13.0002,13.0002,9.1296
19-03,MRK,65.69,67.27,60.14,3.0081,2.7949,54.5217,13.0002,26.0003,3.6692
19-03,ULTA,315.61,348.73,281.76,11.4564,2.9349,53.671,8.0002,7.0003,6.8704
19-03,O,58.81,62.79,53.79,6.5673,0.8212,47.4033,12.0002,15.0003,9.2677
19-03,BSX,40.48,38.38,36.79,-4.1802,1.5956,47.1753,17.0001,25.0003,7.5785
19-03,IQV,140.9,143.85,123.99,2.7848,1.5299,42.4794,16.0001,33.0004,12.4988
19-03,MSI,132.72,130.19,114.33,-1.4187,3.1607,37.2605,6.0001,28.0003,10.7779
19-03,ILMN,305.38,302.23,299.83,-0.2993,6.2665,37.1678,3.9999,13.0002,-5.5529
