Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
15-11,ABBV,61.6,58.15,63.26,-1.9806,31.3031,-6.1614,10.9999,20.0,-13.8089
15-11,CMA,43.75,46.35,45.76,6.7824,7.1394,-9.0909,4.9999,4.0001,-7.4722
15-11,DFS,56.2,56.76,55.48,1.0333,0.7158,-11.8532,4.0,10.0,1.5425
15-11,MS,33.1,34.3,36.0,4.1623,3.493,-5.6652,1.9999,8.0,-14.9674
15-11,NTAP,33.93,30.66,31.65,-10.1972,0.0,-20.5607,3.0,5.9999,9.8863
15-11,PH,104.59,104.66,108.61,0.1284,5.9839,-17.5785,2.9999,2.9999,-6.2787
15-11,PNR,37.52,38.08,39.19,1.6752,2.1376,-16.5996,-1.0001,2.9999,-7.0837
15-11,PWR,20.05,22.05,25.44,9.5051,3.675,-40.9918,3.9997,4.9998,-24.1403
15-11,RF,9.44,10.14,9.82,8.3119,4.0174,-5.8409,-1.0,0.0001,-9.0091
15-11,STT,69.19,72.58,73.73,5.1949,1.5158,-8.5608,10.9999,19.0,-9.2756
