Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
13-07,ADM,34.11,36.47,31.24,7.4115,5.3358,14.8713,17.0002,18.0002,1.1024
13-07,AES,12.11,12.44,11.88,3.8165,4.112,-6.5472,12.0001,13.0001,-4.0453
13-07,AIV,4.04,3.92,3.88,-1.8413,8.7193,11.1111,15.0001,23.0002,-1.6719
13-07,CMCSA,20.94,22.54,20.0,7.9893,4.5244,30.6633,15.0001,15.0002,0.0122
13-07,CMS,26.96,27.99,26.62,3.0671,2.6204,15.617,23.0001,27.0002,-2.3486
13-07,EMR,54.58,61.37,55.53,11.9377,1.7837,17.0889,16.0,33.0001,-1.7701
13-07,GIS,48.54,52.0,45.73,6.9547,1.2031,25.9211,40.0002,48.0002,-1.2591
13-07,HBAN,7.95,8.55,7.09,8.5319,6.9241,22.9687,17.0002,16.0002,7.1624
13-07,HRL,19.39,21.17,18.66,9.4005,4.4657,26.8245,26.0002,39.0003,-6.4362
13-07,K,60.12,62.2,57.29,3.1118,3.7106,30.2029,23.0001,29.0002,0.0058
