Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
24-10,ED,104.25,106.76,94.78,2.5734,1.7417,21.7468,22.0001,29.0001,15.5765
24-10,FDX,273.86,274.4,273.51,0.3418,5.8593,3.3067,10.0,21.0001,-7.3328
24-10,GIS,73.97,69.93,68.6,-5.403,0.1476,15.4087,13.0001,16.0001,15.8439
24-10,GOOGL,167.69,163.42,164.12,-1.4045,2.0784,26.7385,25.0001,38.0002,-8.4901
24-10,HES,134.52,139.42,146.44,2.7554,3.3929,-11.2418,10.9999,22.0,-7.3332
24-10,IVZ,17.56,18.63,15.87,6.1012,0.4659,20.9366,8.0001,15.0,17.285
24-10,KO,72.1,70.44,64.45,-1.9553,0.0977,28.3673,21.0002,25.0002,12.3636
24-10,MO,51.06,49.61,46.74,-2.8071,1.0716,21.3793,26.0002,31.0002,11.7738
24-10,PAYX,137.69,141.53,124.13,5.4947,5.6506,16.3531,20.0001,29.0001,12.7347
24-10,TTWO,153.07,155.27,150.91,1.1145,1.1426,9.4879,13.0,20.0,-0.4149
