Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
21-08,AEE,84.13,87.72,82.87,4.503,2.8125,4.5862,21.0002,14.0,-0.7413
21-08,AEP,88.25,89.57,85.73,1.6716,4.0763,1.4273,14.0001,15.0,-0.3386
21-08,APD,292.37,269.51,289.75,-7.4429,0.0936,1.5351,10.0001,13.0001,1.1679
21-08,ATO,98.75,97.51,99.09,-1.037,1.925,-6.9818,18.0001,17.0001,-4.6352
21-08,ED,73.97,75.45,75.45,2.3041,1.9989,-3.9828,15.0,8.0,-4.482
21-08,ETR,103.35,110.61,103.64,7.3568,2.6663,-2.1022,24.0001,18.0,-5.5373
21-08,NI,24.82,24.65,25.05,-0.4249,1.0048,1.3088,24.0001,22.0001,-4.5524
21-08,PGR,95.64,96.34,97.45,1.327,1.7559,5.3354,12.0001,13.0001,-5.1563
21-08,T,21.33,20.71,22.46,-2.2253,0.357,-5.1724,18.0,19.0001,-10.853
21-08,VRSK,189.99,201.76,178.35,6.1127,1.4957,0.6518,20.0001,19.0001,1.6496
