Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
23-12,ADM,73.76,72.22,77.76,-1.7575,1.831,-24.3795,9.0001,12.9999,-6.862
23-12,AMCR,9.46,9.64,9.34,1.8084,3.4632,-23.2389,3.0,5.9999,-2.0121
23-12,CVS,67.91,78.96,70.25,15.2518,0.5875,-33.3039,6.0,-0.0002,4.7888
23-12,D,45.44,47.0,46.78,3.7876,0.5386,-25.8059,9.9999,6.9998,-5.6725
23-12,EPAM,258.17,297.34,245.15,14.4056,0.345,-29.9501,13.0001,10.9999,1.1401
23-12,MKC,64.91,68.42,75.18,5.5686,0.933,-23.8906,8.9997,16.9999,-22.5753
23-12,MOS,35.96,35.73,37.03,0.1119,2.7283,-30.039,15.0001,-1.0003,-6.1909
23-12,PAYC,181.82,206.72,266.16,13.2014,4.2836,-46.4288,22.9997,28.9997,-37.0907
23-12,PYPL,57.63,61.41,60.84,6.7763,7.6715,-26.5272,11.0,12.9998,-6.8677
23-12,ZION,35.4,43.87,34.67,22.3004,11.6875,-31.2428,5.0003,0.9998,3.2322
