Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
18-10,ALLE,91.55,85.73,82.25,-5.0942,0.253,4.7415,11.0001,22.0001,16.0527
18-10,AMGN,207.73,192.79,191.07,-6.8791,0.8825,11.1773,28.0002,27.0002,11.9027
18-10,ESS,246.78,250.78,239.21,1.9123,0.0571,-2.8815,12.0,11.0,3.5104
18-10,EVHC,45.77,45.99,44.4,0.5675,0.1967,1.7353,21.0002,35.0003,3.874
18-10,HRB,25.85,26.54,25.77,3.4363,1.049,-2.7568,31.0,32.0,12.6763
18-10,HSIC,67.04,65.1,60.15,-2.0967,1.1877,3.7078,21.0003,27.0002,16.2966
18-10,IPG,23.02,23.16,22.93,1.9848,1.0146,10.0048,10.0,22.0002,-1.7673
18-10,JNPR,30.04,29.27,27.6,-1.9417,1.2179,7.6895,30.0002,29.0001,9.4767
18-10,MRK,67.81,70.24,61.46,3.9163,1.0596,10.7918,12.0003,16.0002,15.8244
18-10,ORCL,51.22,48.84,47.73,-5.1252,2.7166,6.6391,16.0001,27.0001,15.9543
