Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
16-04,BBY,32.17,32.08,30.71,-0.8136,1.0698,-14.1572,2.9999,3.0,8.2502
16-04,CNC,30.58,30.98,29.94,1.0614,2.3352,-12.9014,1.0002,6.9998,-4.2701
16-04,GME,7.93,8.2,7.78,3.6048,3.8436,-16.412,12.9998,9.9998,14.1812
16-04,HPQ,12.21,12.27,11.47,-0.183,0.0,-12.9376,10.0001,4.0,5.9524
16-04,NWS,13.14,12.96,13.11,-2.0202,2.5,-16.5091,10.0001,17.0,-3.6144
16-04,NWSA,12.68,12.42,12.66,-2.6017,3.0854,-20.2373,4.0,5.9999,-2.7427
16-04,RHI,46.29,38.31,44.79,-18.3546,7.3948,-23.0337,2.9999,4.9999,-0.1742
16-04,TEL,61.63,59.48,60.96,-3.874,0.551,-13.5437,7.0,6.0,-3.341
16-04,VTR,62.73,62.12,55.09,-1.1469,2.7295,-24.4946,25.0001,33.9999,12.1856
16-04,XRX,29.12,25.3,26.33,-13.9705,3.7383,-13.1518,9.0002,7.0001,6.224
