Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
23-02,DVA,82.39,82.26,82.22,0.0319,5.8801,-23.9734,23.0,13.9998,13.3369
23-02,F,13.52,12.07,13.29,-10.4526,7.7344,-33.4483,13.0,15.0,2.96
23-02,GPN,112.64,112.2,113.14,-0.0414,1.8073,-24.7932,1.0,2.9999,0.8456
23-02,ICE,106.82,101.8,100.75,-5.3908,0.3129,-15.0876,12.0001,4.0,12.501
23-02,KIM,22.32,20.61,21.11,-8.3782,3.065,-7.4196,12.0,14.9999,6.1083
23-02,MAS,53.0,52.43,50.19,-1.104,6.2977,-15.9956,4.0,10.0001,15.8244
23-02,MO,46.05,46.43,44.5,3.2695,6.0924,-11.478,13.0,12.9998,-2.3458
23-02,NRG,34.0,32.79,38.73,-3.9863,6.7242,-14.3,9.9999,15.0,-23.5826
23-02,NWL,15.97,14.69,16.1,-7.7928,1.4402,-31.2365,9.9998,5.9997,16.3151
23-02,SEE,54.29,48.62,52.13,-11.4322,1.8405,-19.3757,8.9999,12.9999,15.4449
