Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
16-06,ABT,39.37,39.31,39.91,-0.5204,5.0532,-18.4568,4.9999,6.9999,2.963
16-06,ADM,42.77,42.89,36.35,0.7182,7.532,-19.0728,14.0002,18.0,21.0052
16-06,AES,11.04,12.48,10.47,12.2662,0.4591,-18.4559,12.0001,1.0,13.1531
16-06,CNC,31.17,35.69,29.86,13.8075,10.4996,-17.2418,1.0001,6.0001,10.3582
16-06,HST,15.28,16.21,15.3,5.9156,5.8985,-22.6908,1.0,4.9999,1.4941
16-06,PWR,23.82,23.12,21.15,-3.3901,4.908,-18.0423,14.0001,27.0001,17.6347
16-06,RHI,41.36,38.16,41.72,-7.7902,5.0391,-26.2196,2.9998,5.9998,7.0811
16-06,RL,93.65,89.62,95.31,-4.5237,4.1799,-27.661,0.9998,0.9999,4.7081
16-06,STX,22.29,24.36,28.95,9.1861,12.7389,-59.4536,12.9996,2.9993,-26.199
16-06,UAL,45.09,41.04,51.47,-8.0499,1.7082,-17.4025,6.9998,3.9998,-22.1691
