Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
20-10,AIG,27.56,31.49,30.28,13.8581,1.3899,-50.5745,14.0002,9.9996,-9.8019
20-10,CNP,19.44,21.13,19.0,9.1957,2.5912,-35.8847,12.0003,3.9998,4.638
20-10,EIX,50.8,56.04,54.84,10.0453,0.0397,-32.5908,13.0,0.9997,-5.5687
20-10,HAS,82.99,82.72,75.65,0.7266,9.9404,-30.3058,9.0002,0.9999,11.2507
20-10,IPG,16.8,18.09,17.62,8.775,0.5396,-22.6809,4.0001,1.9998,-1.4068
20-10,IVZ,11.46,13.11,10.12,14.585,10.4024,-32.6446,10.0004,2.9998,9.0735
20-10,TFC,38.18,42.12,37.7,10.5658,6.8966,-28.7053,9.0003,6.9998,3.2986
20-10,UAA,11.37,13.84,10.11,21.7786,8.6081,-43.681,10.0003,-0.0004,18.1875
20-10,VTR,42.13,39.47,38.58,-5.6172,4.3176,-42.5442,6.0006,8.0,15.8813
20-10,WELL,55.22,53.77,53.53,-1.8608,3.1256,-39.2278,9.0003,2.9999,8.0196
