Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
23-10,CTRA,26.95,27.5,26.26,1.9669,0.8429,3.5605,-3.9999,0.0001,7.371
23-10,DXC,20.77,20.17,23.83,-2.6983,3.7273,-14.9101,8.9999,14.9998,-18.866
23-10,EXPE,102.71,95.29,107.17,-7.4503,0.0883,10.0117,1.0001,5.0002,-3.4554
23-10,F,12.38,9.75,12.97,-23.1982,0.9016,10.8929,4.0,10.0001,-18.9523
23-10,HST,15.97,15.48,16.79,-3.457,0.0629,1.1965,2.0,10.0,-3.7147
23-10,JNPR,27.73,26.92,29.32,-2.7975,1.154,6.3936,0.9998,11.9999,-11.2151
23-10,PAYX,114.83,111.05,116.54,-3.5874,0.4148,2.7805,3.0,7.0,3.4078
23-10,TRMB,53.53,47.13,51.66,-12.9861,3.893,-0.7555,-4.0,6.0001,2.538
23-10,UNH,505.53,535.56,488.5,6.1518,2.6799,-0.1683,-0.9999,-1.0,5.3841
23-10,XYL,91.53,93.54,104.59,3.0402,0.4375,4.201,-1.0001,4.9998,-20.7647
