Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
19-07,AOS,48.0,45.45,50.02,-3.4142,2.4225,-20.2705,19.0001,1.9999,-11.1788
19-07,BIIB,236.59,237.82,258.38,1.9028,0.2213,-19.4219,21.9998,12.9997,-0.5258
19-07,CMA,73.5,73.2,77.22,1.0628,4.2702,-20.1056,17.0001,9.9998,-0.2208
19-07,FCX,11.39,11.06,11.98,-4.4944,0.6151,-32.7346,13.0002,4.9999,-8.6693
19-07,NTAP,62.84,58.49,66.98,-5.1642,0.2713,-21.4313,10.0001,2.9997,-10.5055
19-07,PRGO,48.49,54.01,47.8,12.8854,11.5225,-34.6866,14.0002,12.9997,0.5437
19-07,SCHW,40.88,43.22,44.08,7.5026,1.8236,-21.3503,8.0,11.9998,-5.3598
19-07,SWKS,83.26,85.28,80.36,10.2373,8.0037,-20.0517,16.0002,10.9999,-4.8871
19-07,WAB,72.5,77.68,71.56,8.6261,1.4801,-27.2063,26.0001,6.9997,-1.3869
19-07,WDC,50.4,53.89,46.47,13.4253,25.2523,-38.5738,10.0003,0.9999,1.6432
