Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
23-01,BAX,50.4,45.69,55.31,-10.1066,1.4107,-40.6221,1.9998,5.9996,-4.0866
23-01,DVA,74.94,82.39,82.12,10.1697,2.2544,-34.3618,12.0,7.9997,-4.4007
23-01,EBAY,42.08,49.5,42.26,18.2473,2.1076,-37.6391,-2.0,-8.0003,13.5921
23-01,EMN,81.36,88.17,83.43,8.4213,0.4525,-32.6441,1.9999,-8.0003,15.369
23-01,FIS,68.72,75.04,78.12,10.3087,2.5741,-37.8378,-1.0002,-2.0003,-4.2777
23-01,HAS,61.58,59.17,68.21,-2.3995,7.3657,-40.057,-0.0003,-6.0002,-7.842
23-01,LNC,30.87,35.43,42.75,15.0008,1.7497,-54.9956,1.9997,-8.0006,-25.3469
23-01,NWL,13.2,15.96,15.23,20.4558,4.422,-40.1099,4.9997,2.9996,-3.9093
23-01,VFC,28.01,30.94,33.76,12.0038,8.9552,-62.2917,-2.0004,-8.0006,-4.0019
23-01,WBD,9.65,14.82,11.86,46.4907,5.531,-59.7281,2.9998,-5.0008,-14.2239
