Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
13-12,AAPL,19.93,20.04,17.46,1.0582,7.035,-4.9908,13.0002,17.0003,14.0047
13-12,CF,43.57,46.61,40.42,7.5455,1.189,1.5652,7.0001,9.0001,13.9334
13-12,EW,10.94,10.96,11.68,0.5893,3.9867,-24.4785,5.0,6.9998,-6.4574
13-12,FFIV,82.11,90.86,86.13,10.1782,0.6008,-12.1904,7.0,8.9999,-0.262
13-12,JBL,20.23,17.44,22.24,-12.2509,3.7229,6.6842,19.0,21.0001,-10.6998
13-12,LEG,30.16,30.94,30.23,2.5371,0.0675,8.474,12.0,26.0,4.6676
13-12,MKC,34.53,34.46,34.62,-0.0471,0.4373,6.8773,5.0,7.0,2.2334
13-12,ORCL,35.37,38.26,33.12,8.4104,0.9496,9.6644,9.0001,17.0001,10.4899
13-12,TPR,57.45,56.13,54.05,-3.0402,5.7811,0.1037,15.0,18.0002,9.8016
13-12,VIAV,6.9,7.39,8.06,7.0883,0.8333,0.0824,9.9999,0.9999,-3.7866
