Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
12-04,AES,13.0,12.52,11.89,-4.1396,1.3997,0.5385,13.0003,7.0001,10.3711
12-04,AIV,3.51,3.62,3.18,2.9877,5.9172,3.5294,8.0002,6.0001,14.932
12-04,BA,74.0,76.8,69.61,3.4913,1.691,0.5952,9.0002,7.0,1.5792
12-04,DVA,45.0,44.29,38.29,-1.6397,2.631,5.4256,22.0004,16.0001,17.5776
12-04,EMR,52.24,52.54,48.72,0.8418,1.0385,-10.6966,11.0003,5.0,11.8181
12-04,NUE,42.96,39.21,39.38,-8.8287,1.3989,-6.671,25.0003,12.0001,8.6468
12-04,TRV,59.25,64.32,55.88,8.4748,2.346,-0.4707,23.0002,16.0,0.3574
12-04,UNM,24.4,23.74,22.53,-2.9168,3.104,-6.7429,15.0002,7.0,15.4966
12-04,URBN,29.25,28.96,26.48,-0.2854,1.6867,-2.4137,19.0003,13.0001,8.5914
12-04,WU,17.54,18.38,17.4,4.5351,2.3138,-15.2624,15.0002,6.9999,-2.7811
