Month,Ticker,Open,Close,Profit,qty,Gewinn
20-09,SWKS,134.2679122726317,133.82644653320312,-0.3287946702650496,398.0,-175.70336429256906
20-09,ODFL,99.45689293967008,89.00303649902344,-10.510942109349715,538.0,-5624.174765067895
20-09,NOW,485.0,485.0,0.0,110.0,0.0
20-09,NFLX,532.5999755859375,500.0299987792969,-6.115279440410959,100.0,-3256.9976806640625
20-09,QRVO,129.07000732421875,129.00999450683594,-0.04649633065570584,414.0,-24.845306396484375
20-09,ADSK,247.99000549316406,231.00999450683594,-6.847054562767927,215.0,-3650.702362060547
20-09,NEM,59.209164957178245,55.06141662597656,-7.005247133955448,903.0,-3745.4167430751195
20-09,MSFT,217.848021711338,203.18377685546875,-6.731410614001475,245.0,-3592.739989687964
20-09,ANSS,338.95001220703125,327.2300109863281,-3.457737364984819,157.0,-1840.0401916503906
20-09,FAST,43.8471220407865,40.463905334472656,-7.715937897056925,1220.0,-4127.524381702891
