Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
14-06,BWA,55.36,57.39,52.34,3.6825,4.6792,55.1499,22.0002,27.0003,2.9402
14-06,GD,118.11,116.55,107.03,-1.2777,2.9394,53.2036,20.0003,36.0004,7.907
14-06,GRMN,58.94,60.9,52.43,3.4465,6.0672,68.6516,8.0002,20.0004,9.9403
14-06,GT,26.38,27.78,25.62,5.4626,7.3924,74.1744,3.0002,13.0003,-0.5587
14-06,LMT,163.88,160.73,159.32,-1.7415,1.3713,54.6348,28.0002,37.0003,1.2038
14-06,NFLX,59.93,62.94,54.47,5.4749,8.0543,84.6762,0.0002,13.0005,-3.9162
14-06,OKE,64.63,68.08,60.12,5.504,1.1772,63.1823,22.0002,27.0004,8.986
14-06,PBI,27.63,27.62,25.3,0.0691,5.384,88.2152,2.0002,19.0006,9.1311
14-06,STZ,83.81,88.13,80.54,4.7057,1.6592,58.7059,1.0002,27.0005,4.2394
14-06,UAA,25.5,29.75,25.85,16.0907,9.2318,63.8387,11.0003,20.0004,-8.8414
