Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
17-12,AFL,43.96,43.89,40.08,0.1835,2.9619,22.7795,22.0002,26.0002,6.1141
17-12,CMS,50.09,47.3,47.37,-5.28,0.5255,24.0676,9.0001,30.0001,2.9417
17-12,DVA,61.0,72.25,61.07,17.8789,10.7667,-3.6148,3.9999,17.9999,5.8604
17-12,GD,207.11,203.45,201.55,-1.7397,1.2694,18.1409,17.0,33.0001,3.0645
17-12,IT,120.94,123.15,121.31,1.9323,2.3551,17.5744,11.0,19.0002,0.5924
17-12,KO,45.8,45.88,45.41,0.2805,0.415,13.4325,10.0,23.0001,0.6195
17-12,LEG,48.39,47.73,49.23,-0.9592,3.1897,0.3745,3.9999,14.0,5.4551
17-12,MMC,84.32,81.39,79.58,-3.0004,1.9293,21.0936,20.0001,30.0001,7.4979
17-12,PPL,36.86,30.95,38.35,-16.7392,0.6941,9.5935,8.9999,28.0,-6.5632
17-12,WEC,69.6,66.43,64.25,-4.4324,1.3932,24.0671,20.0001,32.0001,6.5203
