Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
20-01,ABBV,89.08,81.02,77.76,-8.7533,0.2912,-3.9592,7.0002,14.0001,16.1437
20-01,ADM,46.57,44.76,41.4,-3.2636,0.6988,13.1316,29.0001,24.0001,12.5486
20-01,HPQ,20.68,21.32,18.85,3.7654,1.1187,0.4399,9.0,12.0001,9.4095
20-01,HSIC,67.19,68.94,64.73,3.4541,0.6901,8.3393,8.0,17.0001,5.4152
20-01,IFF,129.4,131.11,123.81,1.7409,3.8681,-3.91,23.9999,35.0,6.5056
20-01,MCD,198.0,213.97,204.47,8.0489,1.8515,11.2857,10.0,14.0,-7.8945
20-01,PRU,94.04,91.06,89.14,-2.7003,0.3173,14.9479,9.9999,14.0,4.5787
20-01,SCHW,47.76,45.55,42.5,-3.9719,0.2286,14.5196,12.0002,13.0001,14.3827
20-01,TPR,27.16,25.77,25.15,-4.253,0.8237,-20.0889,18.9999,19.9999,4.5973
20-01,WAB,78.58,73.86,72.53,-4.8833,5.9416,10.7473,7.0001,20.0001,8.838
