Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
18-11,AVGO,22.52,23.74,23.09,6.719,0.3624,-15.3158,9.0,1.9999,2.0966
18-11,BMY,50.68,53.46,57.98,5.9484,2.922,-18.0344,11.0,5.9998,-14.1584
18-11,FMC,68.72,71.76,74.82,6.2059,3.3464,-15.9164,6.0,2.9999,-13.2975
18-11,INCY,65.05,64.25,68.03,-0.2538,5.2122,-42.7638,12.0001,10.9997,-0.996
18-11,MCHP,33.12,37.5,42.47,13.9404,4.6861,-30.6118,0.9998,1.9997,-33.1361
18-11,PHM,24.58,26.52,27.37,7.8867,10.0893,-18.7231,2.9998,3.9998,-13.2226
18-11,PNR,40.34,42.7,42.6,6.3274,6.1404,-15.1528,4.9999,11.9998,-10.0969
18-11,PPL,30.35,30.59,29.28,0.8686,0.4255,-19.0628,9.0001,8.0,5.9638
18-11,SEE,32.55,36.53,40.17,12.3785,7.5096,-26.837,0.9997,1.9996,-29.6559
18-11,UNM,36.57,35.91,37.46,-0.6831,1.9873,-30.3228,8.9997,4.9997,-7.6593
