Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
15-02,AAPL,29.51,32.12,26.98,9.3773,5.5427,63.8274,11.0002,19.0003,9.0572
15-02,ABT,44.93,47.37,43.62,5.7701,1.6633,22.0949,2.0001,4.0002,3.0846
15-02,APD,133.55,144.44,126.85,7.0549,2.3282,38.4915,3.0001,3.0002,8.4605
15-02,BBY,35.14,38.1,35.21,8.1441,0.2293,49.5327,13.0002,25.0004,5.3875
15-02,COST,144.0,146.96,135.42,3.0201,3.3482,27.2606,12.0002,6.0002,7.226
15-02,CTAS,19.69,20.87,18.15,5.953,0.2505,37.9008,14.0002,25.0003,7.6815
15-02,EIX,68.03,64.25,62.38,-5.5568,0.1613,41.5075,24.0002,23.0002,8.8258
15-02,EXPE,86.28,91.75,85.08,8.3519,0.595,32.2407,5.0001,15.0002,1.729
15-02,GILD,106.1,103.53,103.45,-0.7615,0.9987,29.9814,12.0002,24.0003,-4.4044
15-02,ORLY,187.7,208.13,174.59,10.8728,0.5071,43.0447,18.0002,18.0002,6.7211
