Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
12-08,BAC,7.35,7.99,8.06,8.6698,1.8336,-24.4078,5.0001,9.0001,-7.7666
12-08,FHN,8.27,8.96,9.02,8.7449,4.0455,-8.4538,7.0,15.0002,-9.2939
12-08,HAS,36.16,37.51,35.18,4.677,1.3924,-9.454,4.0,3.0,-1.868
12-08,JPM,36.19,37.14,38.63,3.248,4.5296,-11.0012,-2.0,3.0001,-15.7483
12-08,K,44.85,47.56,47.34,6.1054,1.3998,-14.4855,15.0,11.9999,-5.6666
12-08,KSS,50.0,52.2,48.11,4.9643,1.9057,-9.1208,10.0001,2.0,0.3273
12-08,MUR,46.8,44.33,44.07,-4.2927,4.817,-16.4435,-0.0001,2.0,-1.0655
12-08,PLD,32.48,34.17,33.38,5.6785,3.0544,-9.2619,5.0,19.0001,-9.1832
12-08,PRU,48.49,54.51,53.21,12.4365,3.8185,-17.7232,2.9999,4.9999,-21.003
12-08,VNO,61.39,59.38,60.98,-2.6909,1.8577,-10.7429,-2.0,4.0,-2.3133
