Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
24-01,BAX,38.47,38.69,37.14,0.2927,0.6477,-24.1515,12.9999,11.0,3.8761
24-01,CI,301.29,300.95,289.21,0.6895,4.8166,-9.6246,26.0001,26.0002,6.7009
24-01,CNC,75.0,75.31,69.83,1.6903,6.398,-9.511,1.0001,7.0002,8.052
24-01,CVS,78.9,74.37,70.51,-5.7111,4.6737,-15.2699,4.0001,10.0001,12.9199
24-01,EPAM,293.49,278.11,253.82,-6.3212,0.2134,-9.2756,14.0003,20.0001,16.6007
24-01,JNJ,156.93,158.9,157.42,1.4226,4.3714,-11.2709,10.0,2.0,0.8853
24-01,K,55.89,54.76,54.03,-1.9065,8.9195,-16.4175,2.9999,8.9999,0.7254
24-01,MTD,1201.58,1197.19,1113.37,-0.8876,2.295,-16.0843,1.9999,1.9998,10.1187
24-01,RF,19.15,18.67,17.29,-3.3533,2.7939,-10.1113,4.0001,0.0001,14.3631
24-01,T,16.84,17.69,15.35,5.6035,5.1829,-8.8539,5.0001,0.9999,11.8619
