Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
18-09,ADBE,263.67,269.95,245.62,2.6547,3.7665,69.8311,11.0002,17.0004,6.1862
18-09,ALGN,386.64,391.22,330.71,1.4613,5.9793,118.6771,33.0004,41.0005,16.2529
18-09,COP,73.93,77.4,69.12,5.3907,1.4712,68.186,20.0003,21.0004,9.4972
18-09,CTAS,53.31,49.45,47.93,-7.342,1.4831,58.0401,17.0002,31.0003,16.1086
18-09,FFIV,188.76,199.42,173.82,5.349,2.8067,58.4185,37.0003,51.0004,9.3604
18-09,HES,67.43,71.58,62.81,6.3795,1.7506,73.1105,29.0004,31.0004,11.8959
18-09,MA,215.68,222.61,196.59,3.3079,5.6525,61.7104,23.0002,41.0004,13.0479
18-09,MRO,21.68,23.28,20.42,8.1626,1.3474,93.4353,19.0004,18.0004,2.6261
18-09,NFLX,366.47,374.13,354.66,2.3362,7.2029,110.4516,3.0003,19.0007,6.2458
18-09,NVDA,7.0,7.03,6.25,0.387,6.3184,65.6516,7.0002,17.0004,11.6562
