Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
14-07,CAG,23.14,23.45,23.72,1.5901,4.4429,-15.0301,3.9999,5.0,-3.8962
14-07,CSCO,24.99,25.23,23.17,1.5903,1.0068,2.0953,1.0001,5.0001,10.6861
14-07,GME,10.13,10.49,9.64,4.1017,0.9723,-3.7116,3.9999,1.9999,0.1976
14-07,HD,81.32,80.85,79.11,-0.0861,2.0581,4.505,2.0,10.0001,2.5427
14-07,KMI,36.3,35.98,33.24,-0.6389,0.0555,-4.9541,7.0,5.0,11.2787
14-07,LH,88.62,89.08,84.54,1.3573,2.2598,2.2977,1.0001,9.0,4.4447
14-07,NEM,25.48,24.91,24.02,-1.8373,0.885,-15.0584,18.0001,12.9999,9.3088
14-07,PNW,57.72,53.49,54.99,-7.6636,2.8673,4.2726,4.0001,1.0001,5.9382
14-07,RL,161.15,155.86,156.13,-2.9615,3.8954,-7.5112,1.9999,3.0,0.1444
14-07,WU,17.38,17.47,16.21,0.851,5.2058,1.3442,13.0,25.0,6.3813
