Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
14-09,CMA,50.49,49.86,48.95,-0.8772,1.0759,23.2615,4.0001,13.0001,5.1872
14-09,GIS,53.4,50.45,52.08,-5.5151,0.2631,8.232,17.0001,22.0001,-2.6319
14-09,HBAN,9.89,9.73,9.5,-1.0483,0.7114,19.4175,6.0,16.0001,6.3403
14-09,KEY,13.65,13.33,13.63,-1.9871,1.0317,16.6238,11.0,19.0001,-0.2405
14-09,KO,41.52,42.66,40.02,2.2677,0.5554,9.2719,17.0001,24.0,2.1462
14-09,LEG,35.06,34.92,32.85,-0.4267,0.9412,21.3347,19.0001,26.0002,3.6338
14-09,MCHP,24.44,23.61,23.56,-3.2937,2.0502,25.8114,25.0001,28.0001,2.9137
14-09,T,26.38,26.62,26.2,0.8626,0.5734,3.3268,19.0001,13.0,-1.3204
14-09,UNM,36.38,34.38,34.36,-5.2548,4.6036,22.8242,13.0,17.0001,6.9556
14-09,USB,42.34,41.83,41.71,-1.0306,0.1896,17.0219,22.0,29.0001,0.4115
