Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
19-09,CFG,33.34,35.37,34.79,4.9741,0.3662,-18.0272,10.9999,6.0,4.694
19-09,ETN,79.52,83.15,80.23,3.1857,0.1531,-2.9108,11.0,14.0001,8.8705
19-09,GPC,90.06,99.59,99.41,9.9272,1.1023,-9.5744,5.9998,11.9999,-8.5497
19-09,JKHY,144.4,145.97,138.64,0.8496,1.1545,-8.5079,12.0001,7.0001,10.4123
19-09,PNC,127.61,140.16,133.66,8.5139,0.2689,-10.1783,13.0,4.0,1.9924
19-09,REG,64.17,69.49,66.59,7.5225,0.2609,-2.302,14.0,23.0,-1.8478
19-09,RF,14.49,15.82,14.77,8.1654,0.0702,-24.8715,6.9999,8.9999,6.7174
19-09,SCHW,38.01,41.83,41.82,9.1076,0.2377,-24.6505,5.9998,3.9999,-7.1256
19-09,STZ,203.36,207.28,197.29,1.5196,3.3175,-1.8492,9.0002,4.0001,15.4803
19-09,TROW,109.83,114.25,107.17,3.4248,0.5221,-4.5474,9.0001,6.0001,9.6582
