Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
18-07,CPB,40.54,40.9,40.74,1.0579,7.5547,-22.2627,10.9999,15.9999,-4.6899
18-07,HOLX,39.48,42.91,38.48,7.7564,0.1516,-12.4063,6.9999,13.0001,7.0174
18-07,HSIC,56.87,62.28,55.15,9.019,1.7763,-20.6207,8.0001,3.9999,8.7545
18-07,MDLZ,40.93,43.38,41.27,5.8334,0.2945,-5.0706,9.0,13.0,-1.4013
18-07,MHK,212.38,188.36,228.3,-10.9744,1.3987,-11.3451,4.9998,13.9999,-7.365
18-07,NWL,25.55,26.19,26.45,1.7507,1.9007,-51.9023,0.9999,5.9996,2.23
18-07,PEP,108.7,115.0,105.78,5.6516,2.1354,-5.7321,8.9999,26.0,0.1256
18-07,SRCL,65.0,69.86,63.25,6.8423,3.0394,-14.4523,7.0,2.9999,11.5643
18-07,T,24.29,24.15,25.97,-0.1476,1.9304,-14.8953,2.9998,5.9998,-9.734
18-07,UDR,37.54,38.48,35.54,2.6072,1.0586,-3.6695,6.0,15.0,5.5034
