Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
11-11,A,25.21,26.82,28.06,2.2982,0.0567,6.523,-3.0002,8.0,-5.8014
11-11,AMT,53.49,59.0,52.83,7.095,1.0295,6.7623,4.0001,8.0001,6.6073
11-11,DOV,35.74,36.85,38.3,-0.3505,2.7319,4.5763,7.9998,12.9999,-4.8248
11-11,IPG,8.99,9.38,9.45,-0.1442,6.7616,-8.4058,-2.0001,4.0,3.6798
11-11,KIM,16.85,15.77,17.13,-9.4345,1.8382,1.5108,7.9999,18.0,-4.3034
11-11,MRK,32.26,34.11,31.84,3.9023,2.1289,-4.9849,2.0,5.0001,2.3002
11-11,OI,19.18,19.53,20.7,-1.4777,0.8827,-28.3625,7.9997,7.9997,-8.4284
11-11,PLD,28.59,27.82,29.63,-5.5399,0.5797,5.5693,2.9999,6.9999,-12.7033
11-11,VNO,58.54,54.47,62.19,-9.9226,1.3631,-5.2409,2.9999,15.0,-9.1145
11-11,VTR,61.77,60.25,58.98,-4.7003,1.056,3.8275,12.0,26.0,5.4093
