Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
18-04,AEP,68.79,69.98,70.63,2.0693,2.0475,2.1749,3.0,8.0,-6.6005
18-04,AES,11.38,12.24,10.79,7.4801,5.2778,1.6995,5.0,5.0,6.1448
18-04,CAG,36.8,37.07,36.71,0.6204,1.5563,-8.5771,6.0001,2.0,-1.6958
18-04,CMS,45.42,47.19,45.87,4.1799,2.7391,1.2293,4.0,6.0,-3.9696
18-04,CPB,43.31,40.78,46.28,-5.8179,0.1897,-24.3361,7.9999,11.9998,-9.6095
18-04,ES,59.05,60.25,61.12,2.2891,2.1058,0.2382,2.0,3.0,-6.3333
18-04,FRT,116.21,115.85,123.16,-0.0867,0.8546,-13.0262,9.9999,14.9999,-12.8313
18-04,IRM,32.87,33.94,36.03,3.3773,2.4043,-7.8778,1.9998,9.0,-12.9942
18-04,NI,23.96,24.39,24.86,2.0655,2.4045,0.5044,7.9999,3.0,-6.7035
18-04,REG,58.98,58.85,63.25,-0.0543,2.1058,-11.1613,16.0,19.0,-15.3774
