Month,Ticker,Open,Close,Profit,qty,Gewinn
11-01,CMI,78.8829760172871,75.1902084350586,-4.6813238656452905,26.0,-96.01195713794132
11-01,CRM,33.13539927057193,32.14230728149414,-2.9970726502148133,63.0,-62.564795311900774
11-01,VIAV,8.384528160095215,9.65301513671875,15.128901142710577,249.0,315.85325717926025
11-01,TMUS,20.821373384337985,21.098773956298828,1.3322875818052728,100.0,27.740057196084322
11-01,AIV,1.894921873634578,1.859992265701294,-1.84332707428655,1105.0,-38.59721676627898
11-01,ETN,35.72950825351317,37.643768310546875,5.357644564966788,58.0,111.02708330795507
11-01,PCAR,23.8482976425182,23.21540641784668,-2.6538213928660643,87.0,-55.061536546422346
11-01,KEY,5.728628090265434,5.690267562866211,-0.6696285182905893,365.0,-14.001592500716363
11-01,NTAP,42.000377831885636,41.40275573730469,-1.4228969486251835,49.0,-29.283482634466488
11-01,EQR,31.63509936911275,32.79713439941406,3.6732460256972543,66.0,76.69431199988654
