Month,Ticker,Date,Open,Close,Changes,PCT,SMA,ROC_7,Changes_pct,ROC_12,Changes_3,PCT_3,Changes_6,PCT_6,Changes_9,PCT_9,Changes_12,PCT_12
18-05,ALGN,2018-05-31 00:00:00+00:00,249.2100067138672,331.95001220703125,14.0,28.80740785350062,251.62079925537108,1.7282506524835133,14.000288074078535,85.59650510016712,6.99997957620756,-2.0423792440997,19.00009002278529,9.002278528434953,36.000464718624144,46.47186241444724,46.00069533775184,69.53377518442586
18-05,IPGP,2018-05-31 00:00:00+00:00,213.00999450683594,241.27000427246094,4.0,13.161568869866047,235.58809921264648,0.4997149782105575,4.000131615688699,68.64312800344749,4.9998528082326,-14.719176739870306,25.000038190670896,3.8190670897771106,52.00037936586725,37.93658672557818,70.00057768266001,57.76826600030546
18-05,KSS,2018-05-31 00:00:00+00:00,43.88790511997424,47.57255554199219,4.0,7.897860496244047,43.28127170562744,6.183625212098141,4.000078978604963,67.13350021475212,2.9999844106549096,-1.5589345096043008,21.000451367295042,45.136729504358094,30.000484525937154,48.4525937151614,38.00057354332411,57.354332411382345
18-05,TROW,2018-05-31 00:00:00+00:00,88.58205952374159,96.04104614257812,-1.0,6.694463977040133,86.07008766174316,2.591245696608031,-0.9999330553602296,64.79641659636846,3.0000346282029167,3.4628202915517576,17.000228181582642,22.818158263201262,26.000353434874256,35.34348742521039,48.00052140561769,52.1405617682379
18-05,MA,2018-05-31 00:00:00+00:00,171.97896101563038,183.4107666015625,6.0,6.530695422984644,161.9575914001465,1.7901624713190283,6.00006530695423,54.23743785529284,1.0000641405661876,6.414056618784,22.00019692269299,19.69226929943494,33.00035315938985,35.315938985614615,49.000451523191714,45.15231917159821
18-05,VFC,2018-05-31 00:00:00+00:00,69.07332407469613,69.75228881835938,0.0,0.4725746834848943,65.3571781539917,3.8064423607129116,4.725746834848943e-06,53.184682074922904,5.0000141213252105,1.4121325212894131,13.000176353300983,17.635330098828536,19.000307169736196,30.716973619276814,35.00044963237002,44.963237002841176
18-05,SCHW,2018-05-31 00:00:00+00:00,50.69704626049281,50.87499237060547,2.0,0.26096341768750975,48.394287223815915,1.127465716370987,2.0000026096341768,44.411448227993745,9.000059201371645,5.920137164551802,20.000239303359287,23.930335929298785,21.000290462419635,29.046241963176353,27.000397483935544,39.74839355394765
18-05,V,2018-05-31 00:00:00+00:00,121.31194290445566,125.2039794921875,7.0,3.1814026748791857,114.48600982666015,2.6650660356644877,7.000031814026749,40.05417894286772,3.000032472534013,3.2472534007113065,19.00015930724505,15.930724504542276,34.000262145895384,26.214589538170518,44.0003534283424,35.342834240221265
18-05,MSFT,2018-05-31 00:00:00+00:00,89.34948954147801,95.15699768066406,4.0,6.047602500880023,86.7135856628418,0.0,4.000060476025009,39.46601290665641,5.000003019898337,0.30198983398780266,16.000144510176767,14.451017676187824,31.0002882193209,28.821932090314977,37.00035726905237,35.72690523773748
18-05,RL,2018-05-31 00:00:00+00:00,94.70141141559002,117.61643981933594,6.0,21.427228007622656,93.39131866455078,0.6210976032112278,6.000214272280076,39.105030212938175,4.999974349710984,-2.565028901074508,27.00023399787257,23.39978725726992,36.0004204125458,42.041254580100954,38.00037068033986,37.06803398640065
