Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
17-07,AKAM,50.15,47.14,56.7,-4.156,0.1399,-10.9422,15.9997,29.0,-16.1457
17-07,CHRW,69.13,65.61,73.67,-4.3408,4.1308,-7.5017,3.9999,11.0,-11.2989
17-07,COTY,18.81,20.48,18.64,8.9223,0.3145,-27.8184,1.0,4.9998,4.5758
17-07,CVS,80.77,79.93,79.19,-0.5954,4.403,-15.9599,6.0,10.9999,3.0078
17-07,HBI,23.16,22.92,21.18,-0.8949,4.5393,-7.8392,24.0001,16.0,11.8366
17-07,IRM,34.65,36.43,35.29,6.0517,2.2274,-13.7334,11.0001,9.9999,-3.321
17-07,M,23.33,23.75,27.65,2.8358,7.9221,-30.8539,0.9996,8.9996,-21.6301
17-07,MAT,21.54,20.02,23.68,-6.7346,3.399,-31.1921,6.9998,5.9997,-15.5836
17-07,SIG,63.93,61.16,64.44,-2.908,11.5128,-23.2617,2.9996,12.9999,-7.0975
17-07,TSN,62.75,63.36,61.97,1.3049,1.3934,-6.2285,12.0,20.9999,1.9572
