Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
19-11,AES,17.09,18.91,16.49,10.493,2.2183,16.941,11.0,17.0001,2.2731
19-11,APH,25.31,26.0,23.7,3.6884,1.1417,12.0643,5.0,20.0001,8.0095
19-11,BSX,42.05,43.25,40.29,3.7642,3.542,15.3846,17.0001,20.0001,-0.69
19-11,CMA,66.21,70.41,69.4,7.5605,2.8128,-19.7891,9.9998,16.9998,-9.9206
19-11,COO,73.1,78.27,77.07,7.3966,3.416,12.651,20.0,25.0001,-14.0751
19-11,JNJ,132.05,137.49,134.42,4.1221,1.0008,-5.679,10.9999,17.0,1.9452
19-11,PNR,41.86,44.35,37.69,6.7691,2.2426,3.2877,5.0001,18.0,7.6569
19-11,ROST,110.19,116.15,102.85,5.8375,1.001,10.7778,15.0001,28.0002,4.2114
19-11,USB,57.55,60.03,53.11,5.1784,1.7674,9.0874,15.0001,23.0001,0.3606
19-11,ZION,48.92,49.78,44.82,2.7703,2.9412,3.0181,15.0,24.0,8.4122
