Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
22-02,A,140.53,130.36,156.49,-6.1979,2.5598,15.9358,16.9999,26.0001,-11.3875
22-02,AJG,157.87,158.19,153.89,0.3469,1.7383,36.8512,9.0001,18.0001,-5.4228
22-02,CMCSA,49.15,46.76,54.56,-6.4361,0.4223,0.8473,0.9999,10.9999,-2.0766
22-02,CPRT,32.31,30.72,35.98,-4.5438,2.1787,17.7478,1.9999,11.0001,-17.3724
22-02,DTE,119.61,121.59,116.18,1.1509,0.0169,19.1904,13.0,17.0,6.3304
22-02,ETR,111.51,105.21,106.51,-5.7957,0.5392,17.2454,9.0001,18.0,8.7233
22-02,KO,60.91,62.24,56.32,2.1743,0.182,26.7082,20.0001,21.0001,8.2748
22-02,MCHP,77.44,70.33,78.14,-8.7503,6.7639,13.8407,11.0001,14.0001,6.6098
22-02,OTIS,85.85,78.33,85.55,-8.3721,0.5415,32.1423,1.0,13.0001,6.8051
22-02,VRSK,195.52,177.34,205.06,-9.8399,0.2448,6.8828,23.0,38.0001,-6.2454
