Month,Ticker,Open,Close,SMA,PCT,ROC_7,ROC_12,Changes_6,Changes_9,PCT_3
14-03,CVX,114.79,118.91,119.19,3.1057,0.2094,-1.5536,7.0,6.9999,-5.6342
14-03,DE,85.63,90.8,85.72,5.6313,2.1616,-2.1633,12.0,8.0,2.2677
14-03,EW,11.56,12.36,11.24,6.4345,1.3509,-18.8176,20.0,16.0001,7.0281
14-03,FAST,23.52,24.65,23.49,4.5446,2.1744,-8.5997,9.0001,4.9999,2.1752
14-03,IBM,175.27,184.02,173.03,4.0369,0.0,-7.7976,4.0,1.9999,3.3336
14-03,K,56.66,58.88,57.1,3.3193,0.7138,0.3141,3.0,5.0,0.2846
14-03,KO,37.88,38.66,39.23,1.2269,2.1984,-1.343,9.0,4.0,-4.7283
14-03,MOS,48.49,50.0,46.67,2.3997,1.2611,-16.5357,0.0002,1.9998,2.5917
14-03,TDC,45.5,49.19,44.5,7.136,0.5783,-20.9094,1.9998,3.9999,1.9039
14-03,WELL,58.47,59.6,58.11,1.5637,4.0297,-8.4191,6.0,3.9999,5.1306
